name,price1,price2,image_link
Smart tivi Samsung Neo QLED 4K 50 inch QA50QN90DAKXXV,37990000.00đ,36850000.00đ
Smart tivi Samsung Neo QLED 4K 55 inch QA55QN90DAKXXV,45990000.00đ,44850000.00đ
Smart tivi Samsung Neo QLED 4K 65 inch QA65QN90DAKXXV,55990000.00đ,54850000.00đ
Smart tivi Samsung Neo QLED 4K 75 inch QA75QN90DAKXXV,85990000.00đ,84850000.00đ
Smart tivi Samsung Neo QLED 4K 85 inch QA85QN90DAKXXV,120990000.00đ,119850000.00đ
Smart tivi Samsung Neo QLED 4K 98 inch QA98QN90DAKXXV,179990000.00đ,179850000.00đ
Smart tivi Samsung OLED 4K 55 inch QA55S90DAKXXV,45990000.00đ,44890000.00đ
Smart tivi Samsung OLED 4K 65 inch QA65S90DAKXXV,64990000.00đ,63890000.00đ
Smart tivi Samsung OLED 4K 65 inch QA65S95DAKXXV,70990000.00đ,69890000.00đ
Internet tivi Casper 4K 58 inch 58UX5200,13990000.00đ,6990000.00đ
Smart tivi Samsung OLED 4K 77 inch QA77S95DAKXXV,110990000.00đ,109890000.00đ
Smart tivi Samsung Neo QLED 8K 65 inch QA65QN800DKXXV,90990000.00đ,89890000.00đ
Smart tivi Samsung Neo QLED 8K 85 inch QA85QN900DKXXV,219990000.00đ,219890000.00đ
Android tivi Sharp 4K 50 inch 4T-C50DJ3X,8490000.00đ,6990000.00đ
Android tivi TCL QLED 4K 98 inch 98C735,100990000.00đ,58990000.00đ
Google tivi TCL 4K 75 inch 75P745,19690000.00đ,18900000.00đ
Smart tivi LG 4K 75 inch 75UR8050PSB,23690000.00đ,22890000.00đ
Android tivi Asanzo 43 inch 43SL900,5490000.00đ,4790000.00đ
Android tivi Asanzo 32 inch 32SL900,3690000.00đ,3150000.00đ
Google tivi TCL 4K 50 inch 50P745,8900000.00đ,7590000.00đ
Android tivi Casper QLED 4K 55 inch 55QG8000,11490000.00đ,7990000.00đ
Smart tivi LG 4K 43 inch 43UQ7050PSA,11490000.00đ,10900000.00đ
Smart tivi LG 4K 50 inch 50UQ7050PSA,12690000.00đ,8990000.00đ
Google tivi Asanzo 32 inch 32EX8,3690000.00đ,3450000.00đ
Google tivi Sony OLED 4K 65 inch XR-65A95L,93190000.00đ,84890000.00đ
Google tivi Sony OLED 4K 77 inch XR-77A95L,146990000.00đ,128990000.00đ
Google tivi Sony 4K 85 inch XR-85X95L,121990000.00đ,119900000.00đ
Smart tivi Asiatic 43 inch XR43A,4790000.00đ,4500000.00đ
Android tivi Akino 4K 55 inch TL-55HU9,12490000.00đ,6590000.00đ
Google tivi TCL 4K 55 inch 55P745,9790000.00đ,9390000.00đ
Google tivi Xiaomi Pro 4K 65 inch L65M8-A2SEA,15690000.00đ,13790000.00đ
Google tivi TCL QLED 4K 98 inch 98C655,70690000.00đ,69990000.00đ
Google tivi Xiaomi Pro 4K 55 inch L55M8-A2SEA,11990000.00đ,9490000.00đ
Google tivi Xiaomi Pro 4K 43 inch L43M8-A2SEA,8490000.00đ,6490000.00đ
Google tivi Xiaomi A 4K 55 inch L55M8-P2SEA,11490000.00đ,8990000.00đ
Google tivi Xiaomi A 43 inch L43M8-P2SEA,6790000.00đ,5990000.00đ
Google tivi Xiaomi A 32 inch L32M8-P2SEA,4790000.00đ,3990000.00đ
Smart tivi LG 4K 75 inch 75UR7550PSC,27490000.00đ,18490000.00đ
Smart tivi LG QNED 4K 75 inch 75QNED86SRA,74590000.00đ,72990000.00đ
Smart tivi LG QNED 4K 75 inch 75QNED80SRA,40590000.00đ,28890000.00đ
Smart tivi LG 4K 65 inch 65UR9050PSK,22490000.00đ,15490000.00đ
Smart tivi LG 4K 65 inch 65UR8050PSB,19490000.00đ,14890000.00đ
Google tivi TCL QLED 4K 85 inch 85C655,40690000.00đ,39990000.00đ
