Flash Cab,34972753.19
Taxi Affiliation Services,34168433.89000001
Sun Taxi,19776999.909999993
City Service,15984869.900000002
Chicago Independents,9273834.55
"Taxicab Insurance Agency, LLC",7822189.689999998
Taxicab Insurance Agency Llc,7587309.510000002
Medallion Leasin,7129201.670000002
Globe Taxi,6386732.440000002
5 Star Taxi,4458205.35
