state,gender,year,name,number
VA,F,2013,Annabelle,109
VA,F,2013,Alexa,82
WA,F,2013,Emery,39
WA,F,2013,Aria,133
WI,F,2013,Julia,55
WI,F,2013,Mila,64
WI,F,2013,Lola,46
WV,F,2013,Emily,63
AL,F,2013,Trinity,63
AL,F,2013,Kaylee,88
AL,F,2013,Faith,41
AL,F,2013,Brooklyn,168
AR,F,2013,Lillian,75
AZ,F,2013,Mariana,45
AZ,F,2013,Ava,242
AZ,F,2013,Valentina,86
AZ,F,2013,Amelia,145
AZ,F,2013,Naomi,54
AZ,F,2013,Ashley,78
CA,F,2013,Monica,119
CA,F,2013,Alissa,72
CA,F,2013,Kyla,101
CA,F,2013,Shaila,42
CA,F,2013,Ashlynn,77
CA,F,2013,Michaela,77
CA,F,2013,Zoie,41
CA,F,2013,Dania,40
CA,F,2013,Angeline,61
CA,F,2013,Kiara,171
CA,F,2013,Paige,261
CA,F,2013,Larissa,39
CA,F,2013,Julia,371
CA,F,2013,Kai,38
CA,F,2013,Marjorie,47
CA,F,2013,Katelynn,69
CA,F,2013,Melody,401
CA,F,2013,Sawyer,67
CA,F,2013,Suri,45
CA,F,2013,Kristen,48
CA,F,2013,Mariam,47
CA,F,2013,Nathalia,62
CA,F,2013,Yoselin,52
CA,F,2013,Susan,43
CO,F,2013,Clara,58
CO,F,2013,Brooklyn,113
CO,F,2013,Piper,70
CO,F,2013,Mila,78
CO,F,2013,Vivian,52
CT,F,2013,Amelia,77
CT,F,2013,Savannah,59
CT,F,2013,Charlotte,135
CT,F,2013,Penelope,57
FL,F,2013,Nylah,52
FL,F,2013,Asia,40
FL,F,2013,Kate,76
FL,F,2013,Phoenix,39
FL,F,2013,Nora,72
FL,F,2013,Vivian,102
FL,F,2013,Sarah,324
FL,F,2013,Brooklynn,80
FL,F,2013,Kelly,52
FL,F,2013,Johanna,38
FL,F,2013,Adrianna,98
FL,F,2013,Kiley,47
FL,F,2013,Haven,37
FL,F,2013,Melissa,98
FL,F,2013,Kennedi,37
FL,F,2013,Ava,802
GA,F,2013,Brooklyn,246
GA,F,2013,Aniyah,63
GA,F,2013,Ashley,114
GA,F,2013,Gabrielle,112
GA,F,2013,Haley,53
GA,F,2013,Camille,76
ID,F,2013,Mia,43
IL,F,2013,Jada,51
IL,F,2013,Claire,218
IL,F,2013,Sloane,48
IL,F,2013,Alyssa,190
IL,F,2013,Clara,110
IL,F,2013,Ava,552
IL,F,2013,Amy,78
IL,F,2013,Josephine,93
IN,F,2013,Payton,51
IN,F,2013,Josephine,57
IN,F,2013,Zoey,207
IN,F,2013,Anna,112
IN,F,2013,Ava,358
IN,F,2013,Scarlett,89
IN,F,2013,Alexandria,40
