product_name,product_price,image_link
Smart tivi Samsung Crystal UHD 4K 50 inch UA50DU7000KXXV,1239000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/smart-tivi-samsung-crystal-uhd-4k-50-inch-ua50du7000kxxv-1.jpg
Smart tivi Samsung Crystal UHD 4K 55 inch UA55DU7000KXXV,1389000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/smart-tivi-samsung-crystal-uhd-4k-55-inch-ua55du7000kxxv-1.jpg
Smart tivi Samsung Crystal UHD 4K 65 inch UA65DU7000KXXV,1689000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/smart-tivi-samsung-crystal-uhd-4k-65-inch-ua65du7000kxxv-1.jpg
Smart tivi Samsung Crystal UHD 4K 75 inch UA75DU7000KXXV,2589000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/smart-tivi-samsung-crystal-uhd-4k-75-inch-ua75du7000kxxv-1.jpg
Smart tivi Samsung Crystal UHD 4K 43 inch UA43DU7700KXXV,1035000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/smart-tivi-samsung-crystal-uhd-4k-43-inch-ua43du7700kxxv-1.jpg
Smart tivi Samsung Crystal UHD 4K 50 inch UA50DU7700KXXV,1335000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/smart-tivi-samsung-crystal-uhd-4k-50-inch-ua50du7700kxxv-1.jpg
Google tivi Sony 4K 75 inch K-75S30,3239000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/google-tivi-sony-4k-75-inch-k-75s30-1.jpg
Google tivi Sony 4K 65 inch K-65S30,2189000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/google-tivi-sony-4k-65-inch-k-65s30-1.jpg
Google tivi Sony 4K 55 inch K-55S30,1789000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/google-tivi-sony-4k-55-inch-k-55s30-1.jpg
Google tivi Sony 4K 50 inch K-50S30,1589000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/google-tivi-sony-4k-50-inch-k-50s30-1.jpg
Google tivi Sony 4K 43 inch K-43S30,1389000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/google-tivi-sony-4k-43-inch-k-43s30-1.jpg
Google tivi Sony 4K 85 inch KD-85X80L,3989000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/google-tivi-sony-4k-85-inch-kd-85x80l-1.jpg
Internet tivi Casper 4K 58 inch 58UX5200,699000000,https://dienmaythiennamhoa.vn/static/images/thumbs/Images/4.%20hinh%20sp/3.%20Hinh%20SP%202/internet-tivi-casper-4k-58-inch-58ux5200-1.jpg
