Ten_San_Pham,Tu_Gia,Den_Gia,Gia_Goc,Thuong_Hieu
Laptop Dell Inspiron 15 3520 (i5-1235U/RAM 16GB/Onboard/512GB SSD/ Windows 11 + Office),16490000,0,17190000,DELL
Laptop gaming ACER Nitro V ANV15-51-91T5 (i9-13900H/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11),31490000,0,32990000,ACER
Laptop gaming Lenovo LOQ 15IAX9 - 83GS001SVN (i5-12450HX/RAM 12GB/GeForce RTX 2050/512GB SSD/ Windows 11),18490000,0,21490000,LENOVO
Laptop gaming ACER Nitro V ANV15-51-75GS (i7-13620H/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),28990000,0,30990000,ACER
Laptop HP 15s-fq5160TU (7C0S1PA) (i5-1235U) (Bạc),16190000,0,19990000,HP
Laptop Dell Inspiron 15 3530 (N3530-i5U085W11SLU) (i5-1335U) (Bạc),16990000,0,17990000,DELL
Laptop Lenovo ThinkBook 14 G6 IRL - 21KG00RDVN (i5-13420H/RAM 16GB/Onboard/512GB SSD/ Windows 11),16990000,0,17990000,LENOVO
Laptop ASUS Vivobook 14X OLED A1405ZA-KM263W (i7-12700H/RAM 16GB/Onboard/512GB SSD/ Windows 11),18490000,0,20490000,ASUS
Laptop Lenovo Ideapad 5 - 15IAL7 -82SF006LVN (i5-1235U) (Xanh),11990000,0,19490000,LENOVO
Laptop Lenovo Ideapad Slim 3 15ABR8 - 82XM00EJVN (Ryzen 5 7430U/RAM 16GB/Onboard/512GB SSD/ Windows 11),12490000,0,14390000,LENOVO
Laptop HP 15-fd0079TU - 8D732PA (i5-1335U/RAM 16GB/Onboard/512GB SSD/ Windows 11),16790000,0,19590000,HP
Laptop Acer Aspire 3 A315-58-529V (i5-1135G7) (Bạc),10990000,0,11990000,ACER
Laptop gaming MSI Thin GF63 12VE - 454VN (i5-12450H/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),18990000,0,22290000,MSI
Laptop Dell Inspiron 3530 - N5I5489W1 (i5-1335U) (Bạc),20590000,0,22490000,DELL
MacBook Air M2 2022 13 inch (8GB/256GB SSD),22990000,0,31900000,APPLE
Laptop gaming MSI Cyborg 15 A12VE-412VN (i5-12450H/RAM 8GB/GeForce RTX 4050/512GB SSD/ Windows 11),18990000,0,24990000,MSI
